,Category,Message
4548,ham,hey mate spoke mag people ‘ deliver end month deliver th sept talk later
2651,ham,like shaking booty dance floor
2520,ham,ok ask abt movie wan ktv oso
1602,ham,carlos taking sweet time usual let know patty donewant smoke ill tell haul ass
1399,ham,check got detailed message
1345,ham,somewhere fredericksburg
1237,ham,much getting
4503,ham,wot bitch
1646,ham,ill post lr class
2786,ham,yeah get unlimited
2567,ham,room need
2486,ham,lol thats different dont go trying find every real life photo ever took
3083,ham,importantly discuss
1809,ham,aiyo bit pai seh ü noe scared dun rem die hee become better lookin oredi leh
3665,ham,huh also many mistakes
5091,ham,check rooms befor activities
1881,ham,seeing missed call dear brother gr day
1560,ham,single line big meaning miss anything ur best life dont miss ur best life anything gud nyt
3914,ham,yeah whatever lol
3946,ham,gentle princess make sweet gentle love
1033,ham,happy new year man
3523,ham,im sorry bout last nite wasn ur fault spouse pmt sumthin give think shldxxxx
3573,ham,yup leaving right back soon
410,ham,messagesome text missing sendername missing number missing sentdate missing missing lot thats everything missing sent via fullonsmscom
2977,ham,love little pocy bell sorry love
5056,ham,train back northampton im afraid im staying skyving today ho ho around wednesday though fancy comedy club week way
897,ham,hope good week checking
2944,ham,messageno responcewhat happend
361,ham,ha ha cool cool chikku chikkudb
5459,ham,hear loud scream minutes cause gyno shoving things dont belong
3947,ham,doin baby girl hope okay every time call ure phone miss get touch
3748,ham,ü neva tell noe im home da aft wat
2181,ham,babe goes day sip cappuccino think love send kiss across sea
3096,ham,olol printed forum post guy exact prob fixed gpu replacement hopefully dont ignore
4074,ham,actual exam harder nbme
4420,ham,little darlings far week need coffee run tomocant believe time week already …
3543,ham,ü come lt pass lar
27,ham,catch bus frying egg make tea eating moms left dinner feel love
1981,ham,sorry ill call later
4621,ham,long fuckin showr
2198,ham,bring got
3513,ham,already one guy loving
3863,ham,customer place wil cal sir
510,ham,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply
4960,ham,mean left early check cos im working
4667,ham,nottel software name
3566,ham,know taj mahal symbol love lesser known facts mumtaz shahjahans th wife wifes shahjahan killed mumtazs husband marry mumtaz died th delivery married mumtazs sister question arises hell love great hari
3718,ham,im gon na rip uterus
5191,ham,sorry ill call later
920,ham,dont talk ever ok word
3058,ham,woke yeesh late didnt fall asleep til
5139,ham,oh shut omg yesterday dream kids boys pissed kids boys even told mark dream changing diapers cause im getting owed face
2442,ham,back brum thanks putting us keeping us happy see soon
4374,ham,fineabsolutly fine
680,ham,missed call cause yelling scrappy miss cant wait come home im lonely today
239,ham,new theory argument wins situation loses person dont argue ur friends kick say im always correct
4387,ham,im snowboarding trip wondering planning get everyone together befor goa meet greet kind affair cheers
2462,ham,anything lar
4878,ham,worlds happiest frnds never characters dey best understanding differences
5280,ham,vikky come around time
2214,ham,goodmorning today late hrs back pain
5229,ham,means could keep ur words
887,ham,like talk pa able dont know
5208,ham,hiwhat think match
5415,ham,get chicken broth want ramen unless theres dont know
3634,ham,hui xin da lib
605,ham,meet lunch la
1825,ham,sent ur email id soon
4943,ham,im eatin lor goin back work soon mountain deer show huh watch liao nice
1035,ham,zoe hit im fucking shitin il defo try hardest cum morow luv millions lekdog
781,ham,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply
3240,ham,okay soon best
3937,ham,giving second chance rahul dengra
5476,ham,yes princess want please every night wish command
892,ham,great princess thinking
1698,ham,hai priya right doctor said pa
3170,ham,havent seen facebook huh lol
4987,ham,thats haf keep busy
4211,ham,dahe stupid daalways sending like thisdon believe messagepandy mental
1675,ham,nah dub je still buff
985,ham,yo guess dropped
961,ham,sure cant take sick time
1173,ham,happy new years melody
3701,ham,ohi asked fun hahatake care ü
3623,ham,goin workout lor muz lose fats
252,ham,wen ur lovable bcums angry wid dnt take seriously coz angry childish true way showing deep affection care luv kettoda manda nice day da
3615,ham,ok ü
2700,ham,oh baby house come dont new pictures facebook
814,ham,borrow ur bag ok
2281,ham,ü comin back dinner
982,ham,reckon need town eightish walk carpark
4691,ham,ok prob
2022,ham,dont anybodys number still havent thought tactful way ask alex
3352,ham,time coming
2795,ham,affidavit says twiggs st division courtroom time ill double check text tomorrow
5483,ham,li hai bored da lecturer repeating last weeks stuff waste time
231,ham,get gandhipuram walk cross cut road right side street road turn first right
4992,ham,made eta taunton planned hope ‘ still okday good see xx
3117,ham,uncle abbey happy new year abiola
4975,ham,aiyo poor thing dun wan eat bathe already
3505,ham,food
1983,ham,hey late im amk need drink tea coffee
2,spam,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply overs
5,spam,freemsg hey darling weeks word back id like fun still tb ok xxx std chgs send £ rcv
8,spam,winner valued network customer selected receivea £ prize reward claim call claim code kl valid hours
9,spam,mobile months entitled update latest colour mobiles camera free call mobile update co free
11,spam,six chances win cash pounds txt csh send cost pday days tsandcs apply reply hl info
12,spam,urgent week free membership £ prize jackpot txt word claim tc lccltd pobox ldnwarw
15,spam,xxxmobilemovieclub use credit click wap link next txt message click xxxmobilemovieclubcomnqjkgighjjgcbl
19,spam,england macedonia dont miss goalsteam news txt ur national team eg england trywales scotland txtú poboxoxwwq
34,spam,thanks subscription ringtone uk mobile charged £month please confirm replying yes reply charged
42,spam,rodger burns msg tried call reply sms free nokia mobile free camcorder please call delivery tomorrow
54,spam,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
56,spam,congrats year special cinema pass call suprman matrix starwars etc free bxipwe pm dont miss
65,spam,valued customer pleased advise following recent review mob awarded £ bonus prize call
67,spam,urgent ur awarded complimentary trip eurodisinc trav acoentry £ claim txt dis £morefrmmob shracomorsglsuplt ls aj
68,spam,hear new divorce barbie comes kens stuff
93,spam,please call customer service representative ampm guaranteed £ cash £ prize
95,spam,free ringtone waiting collected simply text password mix verify get usher britney fml po box mk ppw
114,spam,gent trying contact last weekends draw shows £ prize guaranteed call claim code valid hrs ppm
117,spam,winner specially selected receive £ holiday flights inc speak live operator claim pmin
120,spam,private account statement shows unredeemed bonus points claim call identifier code expires
121,spam,urgent mobile awarded £ bonus caller prize final try contact call landline boxwrc ppm
123,spam,todays voda numbers ending selected receive award match please call quoting claim code standard rates app
134,spam,sunshine quiz wkly win top sony dvd player know country algarve txt ansr £ sptyrone
135,spam,want get laid tonight want real dogging locations sent direct ur mob join uks largest dogging network bt txting gravel nt eca pmsgp
139,spam,youll rcv msgs chat svc free hardcore services text go get nothing must age verify yr network try
147,spam,freemsg havent replied text im randy sexy female live local luv hear netcollex ltd per msg reply stop end
159,spam,customer service annoncement new years delivery waiting please call arrange delivery
160,spam,winner specially selected receive £ cash holiday flights inc speak live operator claim
164,spam,pls stop bootydelious inviting friend reply yes see stop send stop frnd
165,spam,bangbabes ur order way receive service msg download ur content goto wap bangb tv ur mobile internetservice menu
167,spam,urgent trying contact last weekends draw shows £ prize guaranteed call claim code valid hrs
188,spam,please call customer service representative freephone ampm guaranteed £ cash £ prize
191,spam,unique enough find th august
225,spam,new mobiles must go txt nokia collect todayfrom £ optout gbpmtmsg
227,spam,meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign horo aries
235,spam,text meet someone sexy today find date even flirt join reply name age eg sam msg recdthirtyeight pence
240,spam,secret admirer looking make contact ufind rreveal thinks ur specialcall
250,spam,congratulations ur awarded cd vouchers gift guaranteed free entry wkly draw txt music tncs
259,spam,tried contact reply offer video handset anytime networks mins unlimited text camcorder reply call
264,spam,hey really horny want chat see naked text hot text charged pm unsubscribe text stop
268,spam,ur ringtone service changed free credits go clubmobilescom choose content stop txt club stop pwk club po box mk wt
270,spam,ringtone club get uk singles chart mobile week choose top quality ringtone message free charge
273,spam,hmv bonus special pounds genuine hmv vouchers answer easy questions play send hmv info
296,spam,tmobile customer may claim free camera phone upgrade pay go sim card loyalty call offer ends thfebtcs apply
305,spam,sms ac blind date rodds aberdeen united kingdom check sms acwicmbcktzr blind dates send hide
309,spam,themob check newest selection content games tones gossip babes sport keep mobile fit funky text wap
312,spam,think ur smart win £ week weekly quiz text play nowtcs winnersclub po box uz gbpweek
319,spam,december mobile mths entitled update latest colour camera mobile free call mobile update co free
333,spam,call germany pence per minute call fixed line via access number prepayment direct access
335,spam,valentines day special win £ quiz take partner trip lifetime send go pmsg rcvd custcare
349,spam,fancy shag dointerested sextextukcom txt xxuk suzy txts cost per msg tncs website
357,spam,congratulations ur awarded cd vouchers gift guaranteed free entry wkly draw txt music tncs
358,spam,ur cashbalance currently pounds maximize ur cashin send cash pmsg cc hgsuitelands rowwjhl
367,spam,updatenow xmas offer latest motorola sonyericsson nokia free bluetooth double mins txt orange call mobileupd calloptoutfq
368,spam,discount code rp stop messages reply stop customer services
375,spam,thanks ringtone order reference charged gbp per week unsubscribe anytime calling customer services
385,spam,double mins txts months free bluetooth orange available sony nokia motorola phones call mobileupd calloptoutndx
389,spam,mths half price orange line rental latest camera phones free phone mths call mobilesdirect free update orstoptxt
401,spam,free ringtone text first poly text get true tone help st free tones £pw £nd txt stop
415,spam,dating service call boxskch
418,spam,free entry £ weekly competition text word win tc
420,spam,send logo ur lover names joined heart txt love name name mobno eg love adam eve yahoo poboxwwq txtno ads
422,spam,someone contacted dating service entered phone fancy find call landline poboxntfp
424,spam,urgent mobile number awarded £ prize guaranteed call land line claim valid hrs
433,spam,congrats nokia video camera phone call calls cost ppm ave call mins vary mobiles close post bcm ldn wcnxx
455,spam,loan purpose £ £ homeowners tenants welcome previously refused still help call free text back help
463,spam,upgrdcentre orange customer may claim free camera phone upgrade loyalty call offer ends th july tcs apply optout available
471,spam,okmail dear dave final notice collect tenerife holiday cash award call landline tcs sae box cwwx ppm
474,spam,want get laid tonight want real dogging locations sent direct ur mob join uks largest dogging network txting moan nyt eca pmsgp
487,spam,free message activate free text messages replying message word free terms conditions visit
492,spam,congrats year special cinema pass call suprman matrix starwars etc free bxipwe pm dont miss
505,spam,error
515,spam,guaranteed latest nokia phone gb ipod mp player £ prize txt word collect ibhltd ldnwh pmtmsgrcvd
517,spam,boltblue tones reply poly mono eg poly cha cha slide yeah slow jamz toxic come stop tones txt
518,spam,credits topped renewal pin tgxxrz
525,spam,urgent mobile awarded £ bonus caller prize nd attempt contact call boxqu
527,spam,todays offer claim ur £ worth discount vouchers text yes savamob member offers mobile cs £ sub unsub reply
529,spam,recieve tone within next hrs terms conditions please see channel teletext pg
531,spam,private account statement shows unredeemed sim points call identifier code expires
541,spam,monthlysubscriptionpmsg maxmonth tcsc web age stop txt stop
564,spam,gent trying contact last weekends draw shows £ prize guaranteed call claim code valid hrs ppm
576,spam,cash prize claim call
579,spam,mobile number £ claim calls us back ring claims hot line
583,spam,tried contact reply offer mins textand new video phone call reply free delivery tomorrow
591,spam,ur chance win £ wkly shopping spree txt shop tscs custcare xpwk
592,spam,specially selected receive pound award call lines close cost ppm tcs apply ag promo
593,spam,private account statement shows unredeemed points call identifier code expires
598,spam,important customer service announcement call freephone
607,spam,xclusiveclubsaisai morow soiree speciale zouk nichols parisfree roses ladies info
611,spam,days kick euro kept date latest news results daily removed send get txt stop
629,spam,new textbuddy chat horny guys ur area free receive search postcode gaytextbuddycom txt one name
630,spam,todays vodafone numbers ending selected receive £ award number matches call receive £ award
635,spam,dear voucher holder claim weeks offer pc go tscs apply stop texts txt stop
648,spam,private account statement shows unredeemed points call identifier code expires
650,spam,cash prize claim call tc rstm sw ss ppm
660,spam,premium phone services call
672,spam,sms ac sun posts helloyou seem cool wanted say hi hi stop send stop
673,spam,get ur st ringtone free reply msg tone gr top tones phone every week £ per wk opt send stop
684,spam,hi im sue years old work lapdancer love sex text live im bedroom text sue textoperator da ppmsg
690,spam,please call immediately urgent message waiting
709,spam,review keep fantastic nokia ngage game deck club nokia go unsubscribe alerts reply word
710,spam,mths half price orange line rental latest camera phones free phone mths call mobilesdirect free update orstoptxt tcs
713,spam,ampm cost
717,spam,error
719,spam,guaranteed £ cash £ prize claim yr prize call customer service representative ampm
731,spam,email alertfrom jeri stewartsize kbsubject lowcost prescripiton drvgsto listen email call
738,spam,hi customer loyalty offerthe new nokia mobile £ txtauction txt word start get tctxt tc pmtmsg
748,spam,subscribed best mobile content service uk £ per days send stop helpline
751,spam,realize years well thousands old ladies running around tattoos
752,spam,important customer service announcement premier
761,spam,romantic paris nights flights £ book next year call tscs apply
763,spam,urgent ur £ guaranteed award still unclaimed call closingdate claimcode mm £pmmorefrommobilebremovedmobypoboxlsyf
766,spam,ur awarded city break could win £ summer shopping spree every wk txt store skilgme tscswinawkage £perwksub
784,spam,important customer service announcement premier call freephone
788,spam,ever thought living good life perfect partner txt back name age join mobile community psms
789,spam,free top polyphonic tones call national rate get toppoly tune sent every week text subpoly £ per pole unsub
797,spam,orange customer may claim free camera phone upgrade loyalty call offer ends thmarch tcs apply optout availa
801,spam,last chance claim ur £ worth discount vouchers today text shop savamob offers mobile cs savamob pobox muz £ sub
803,spam,free st week nokia tone ur mobile every week txt nokia get txting tell ur mates pobox wwq normptone
804,spam,guaranteed £ award even £ cashto claim ur award call free stop getstop php rg jx
813,spam,congratulations ur awarded either £ cd gift vouchers free entry £ weekly draw txt music tncs
815,spam,outbid simonwatson shinco dvd plyr bid visit sms acsmsrewards end bid notifications reply end
823,spam,smsservices yourinclusive text credits pls goto login qxj unsubscribe stop extra charge help comuk cm ae
824,spam,alfie moons children need song ur mob tell ur ms txt tone charity nokias poly charity polys zed profit charity
831,spam,secret admirer reveal thinks special call opt reply reveal stop per msg recd cust care
833,spam,dear voucher holder claim weeks offer pc please go tscs apply stop texts txt stop
837,spam,want anytime network mins text new video phone five pounds per week call reply delivery tomorrow
839,spam,tried contact offer new video phone anytime network mins half price rental camcorder call reply delivery wed
840,spam,last chance claim ur £ worth discount voucherstext yes nowsavamobmember offers mobile cs £ sub remove txt stop
844,spam,urgent call landline complimentary ibiza holiday cash await collection sae tcs po box sk wp ppm
850,spam,todays offer claim ur £ worth discount vouchers text yes savamob member offers mobile cs £ sub unsub reply
856,spam,talk sexy make new friends fall love worlds discreet text dating service text vip see could meet
866,spam,congratulations ur awarded either yrs supply cds virgin records mystery gift guaranteed call tscs £pm approx mins
868,spam,private account statement xxxxxx shows unredeemed points call identifier code expires
869,spam,hello need posh birds chaps user trial prods champneys put need address dob asap ta
870,spam,want xmas free text messages new video phone half price line rental call free find
876,spam,shop till drop either £ cash £ travel voucher call ntt po box crbt fixedline cost ppm mobile vary
878,spam,sunshine quiz wkly win top sony dvd player know country liverpool played mid week txt ansr £ sptyrone
879,spam,secret admirer looking make contact ufind rreveal thinks ur specialcall
880,spam,secret admirer looking make contact ufind rreveal thinks ur specialcall stopsms
881,spam,reminder downloaded content already paid goto mymoby tv collect content
900,spam,free ringtone waiting collected simply text password mix verify get usher britney fml po box mk ppw
907,spam,lastest stereophonics marley dizzee racal libertines strokes win nookii games flirt click themob wap bookmark text wap
910,spam,january male sale hot gay chat cheaper call national rate pmin cheap pmin peak stop texts call pmin
930,spam,money lucky winner claim prize text money £million give away pptxnormal text rate box wtjy
935,spam,dear matthew please call landline complimentary lux tenerife holiday £ cash await collection ppm sae tcs box skxh
939,spam,urgent call landline complimentary tenerife holiday £ cash await collection sae tcs box hp yf ppm
943,spam,getting touch folks waiting company txt back name age opt enjoy community psms
947,spam,ur cashbalance currently pounds maximize ur cashin send go pmsg cc po box tcrw
955,spam,filthy stories girls waiting
962,spam,urgent trying contact todays draw shows £ prize guaranteed call land line claim validhrs
983,spam,congrats mobile videophones call videochat wid mates play java games dload polyph music noline rentl
1002,spam,please call customer service representative freephone ampm guaranteed £ cash £ prize
1007,spam,panasonic bluetoothhdset free nokia free motorola free doublemins doubletxt orange contract call mobileupd call optout
1017,spam,free st week nokia tone ur mob every week txt nokia get txting tell ur mates pobox wwq normptone
1022,spam,guess somebody know secretly fancies wan na find give us call landline dateboxessexcmxn pmin
1045,spam,know someone know fancies call find pobox lshb
1048,spam,flirting txt girl bloke ur name age eg girl zoe join get chatting
1050,spam,days euro kickoff kept informed latest news results daily unsubscribe send get euro stop
1060,spam,eastenders tv quiz flower dot compare violet tulip lily txt chance win £ cash wkentp
1064,spam,new local dates area lots new people registered area reply date start replys
1069,spam,someone know asked dating service contact cant guess call revealed po box wu
1072,spam,urgent trying contact todays draw shows £ prize guaranteed call land line claim validhrs
1073,spam,dear uve invited xchat final attempt contact txt chat
1089,spam,awarded sipix digital camera call landline delivery within days cs box mbp yr warranty ppm £
1091,spam,win urgent mobile number awarded £ prize guaranteed call land line claim valid hrs ppm
1097,spam,dear subscriber ur draw £ gift voucher entered receipt correct ans elvis presleys birthday txt answer
1105,spam,message important information user today lucky day find log onto fantastic surprise awaiting
1118,spam,£ price claim call
1120,spam,bored speed dating try speedchat txt speedchat dont like em txt swap get new chatter chat poboxwwq pmsg rcd
1122,spam,want anytime network mins text new video phone five pounds per week call reply delivery tomorrow
1126,spam,taking part mobile survey yesterday texts use however wish get txts send txt tc
1129,spam,ur hmv quiz cashbalance currently £ maximize ur cashin send hmv pmsg
1137,spam,dont forget place many free requests stchoicecouk wish information call
1142,spam,dont know dont know send chat lets find pmsg rcvd hgsuitelandsrowwjhl ldn years
1146,spam,thank winner notified sms good luck future marketing reply stop customer services
1154,spam,girls many local virgins ready fil ur every sexual need fil text cute £
1163,spam,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply overs
1172,spam,got takes take part wrc rally oz lucozade energy text rally le see packs lucozadecoukwrc itcould
1194,spam,sex ur mobile free sexy pic jordan text babe every wk get sexy celeb pocketbabecouk pics £wk
1196,spam,new voicemail please call
1205,spam,win year supply cds store ur choice worth £ enter £ weekly draw txt music tscs
1207,spam,sim subscriber selected receive bonus get delivered door txt word ok claim pmsg exp apr
1217,spam,new voicemail please call
1221,spam,nokia tone ur mob every week txt nok st tone free get txtin tell ur friends ptone reply hl info
1225,spam,winner specially selected receive £ cash holiday flights inc speak live operator claim
1227,spam,reply name address receive post weeks completely free accommodation various global locations php
1229,spam,free entry £ weekly comp send word enter tc cust care
1252,spam,please call immediately urgent message waiting
1263,spam,hungry gay guys feeling hungry call pmin stop texts call pmin
1269,spam,get phone wan na chat set meet call cum moro luv jane xx calls£minmoremobsemspoboxpowa
1274,spam,network operator service free cs visit biz
1307,spam,enjoy jamster videosound gold club credits new videosounds logosmusicnews get fun jamstercouk help call
1308,spam,get lions england tone reply lionm mono lionp poly go original best tones gbp network operator rates apply
1318,spam,win newest “ harry potter order phoenix book reply harry answer questions chance first among readers
1328,spam,ur balance £ ur next question sang uptown girl answer txt ur answer good luck
1350,spam,freeday sexy st georges day pic jordantxt pic dont miss every wk saucy celeb pics pocketbabecouk £wk
1366,spam,hot live fantasies call per min ntt ltd po box croydon cr wb
1374,spam,bears pic nick tom pete dick fact types try gay chat photo upload call pmin stop texts call
1375,spam,new mobiles must go txt nokia collect todayfrom £ optout gbpmtmsg txtauction
1378,spam,double mins double txt price linerental latest orange bluetooth mobiles call mobileupd latest offers calloptoutlf
1380,spam,nokia tone ur mob every week txt nok st tone free get txtin tell ur friends ptone reply hl info
1407,spam,urgent important information user today lucky day find log onto fantastic surprise awaiting
1414,spam,dear uve invited xchat final attempt contact txt chat pmsgrcvdhgsuitelandsrowwjhl ldn yrs
1423,spam,congratulations ur awarded either £ cd gift vouchers free entry £ weekly draw txt music tncs winppmxage
1430,spam,sale arsenal dartboard good condition doubles trebles
1444,spam,free st week entry textpod chance win gb ipod £ cash every wk txt pod tscs custcare
1449,spam,registered optin subscriber ur draw £ gift voucher entered receipt correct ans whats bbc charts
1456,spam,summers finally fancy chat flirt sexy singles yr area get matched reply summer free join optout txt stop help
1458,spam,claire havin borin time alone wan na cum nite chat hope luv claire xx calls£minmoremobsemspoboxpowa
1460,spam,bought one ringtone getting texts costing pound offering tones etc
1463,spam,urgent mobile xxxxxxxxx £ bonus caller prize nd attempt reach call asap
1466,spam,guaranteed latests nokia phone gb ipod mp player £ prize txt wordcollect tcllc nyusa pmt msgrcvd
1469,spam,hi lucy hubby meetins day fri alone hotel fancy cumin pls leave msg day lucy calls£minmobsmorelkpoboxhpfl
1492,spam,account credited free text messages activate txt word credit tcs
1500,spam,sms ac jsco energy high may know channel day ur leadership skills strong psychic reply ans wquestion end reply end jsco
1502,spam,hot live fantasies call per min ntt ltd po box croydon cr wb national rate call
1507,spam,thanks vote sing along stars karaoke mobile free link reply sing
1518,spam,brand new mobile music service live free music player arrive shortly install phone browse content top artists
1521,spam,urgent mobile awarded £ bonus caller prize nd attempt contact call boxqu bt national rate
1536,spam,nokia get win free auction take part send nokia hgsuitelands rowwjhl
1544,spam,hello orange months free access games news sport plus free texts photo messages reply yes terms apply
1573,spam,ur cashbalance currently pounds maximize ur cashin send go pmsg cc hgsuitelands rowwjhl
1574,spam,sms auction brand new nokia auction today auction free join take part txt nokia hgsuitelands rowwjhl
1594,spam,private account statement shows unredeemed points call identifier code expires
1597,spam,registered subscriber yr draw £ gift voucher entered receipt correct ans next olympics txt ans
1598,spam,urgent mobile number awarded £ prize guaranteed call land line claim valid hrs ppm
1613,spam,rtking pro video club need help inforingtonekingcouk call must club credits redeemable enjoy
1623,spam,secret admirer looking make contact ufind rreveal thinks ur specialcall
1625,spam,free text msgs text ok well credit account
1628,spam,selected stay top british hotels nothing holiday worth £ claim call london bx swss
1635,spam,eerie nokia tones rply tone title eg tone dracula titles ghost addamsfa munsters exorcist twilight poboxwwq
1638,spam,anetworks allow companies bill sms responsible suppliers shop give guarantee sell
1640,spam,freemsgfeelin kinda lnly hope like keep company jst got cam moby wan na pictxt reply date msgp rcv hlp stop
1653,spam,ur chance win £ cash every wk txt action tscs custcare xpwk
1659,spam,rgent nd attempt contact uu £ call tcsbcmwcnxx callcost ppm mobilesvary max£
1663,spam,hi ur lookin saucy daytime fun wiv busty married woman free next week chat sort time janinexx calls£minmobsmorelkpoboxhpfl
1673,spam,urgent trying contact todays draw shows £ prize guaranteed call land line claim valid hrs
1674,spam,monthly password wap mobsicom use wap phone pc
1687,spam,todays vodafone numbers ending last four digits selected received £ award number matches please call claim £ award
1688,spam,free top ringtone sub weekly ringtoneget st week freesend subpoly per weekstop sms
1691,spam,sunshine quiz wkly win top sony dvd player know country algarve txt ansr £ sptyrone
1699,spam,free msg sorry service ordered could delivered sufficient credit please top receive service
1714,spam,hard live chat pmin choose girl connect live call cheap chat uks biggest live service vu bcmwcnxx
1718,spam,wow boys back take uk tour win vip tickets prebook vip club txt club trackmarque ltd infovipclubu
1734,spam,hi mandy sullivan calling hotmix fmyou chosen receive £ easter prize drawplease telephone claim prize transferred someone else
1741,spam,ur going bahamas callfreefone speak live operator claim either bahamas cruise of£ cash opt txt
1745,spam,someone conacted dating service entered phone fancy youto find call landline poboxntf
1765,spam,hi ibh customer loyalty offer new nokia mobile £ txtauctiontxt wordstart get nowt
1767,spam,sms auction nokia get win free auction take part send nokia hgsuitelands rowwjhl
1777,spam,call freephone
1778,spam,buy space invaders chance win orig arcade game console press games arcade std wap charge see ocoukgames terms settings purchase
1780,spam,loan purpose £ £ homeowners tenants welcome previously refused still help call free text back help
1781,spam,big brother alert computer selected cash voucher call ntt po box cro bt landline cost ppm mobiles vary
1793,spam,win winner mr foley ipod exciting prizes soon keep eye ur mobile visit
1807,spam,todays voda numbers ending selected receive £award match please call quoting claim code standard rates app
1830,spam,hottest pics straight phone see getting wet wanting xx text pics txt costs textoperator gga xxx
1839,spam,hack chat get backdoor entry chat rooms fraction cost reply neo call subscribe pm dps bcm box ldn wcnxx
1848,spam,free nokia motorola upto mths price linerental free xnet minstxtmth free btooth call mobileupd call optoutdwv
1853,spam,nd time tried contact pound prize claim easy call per min btnationalrate
1874,spam,guaranteed £ cash £ prizeto claim yr prize call customer service representative
1875,spam,would like see xxx pics hot nearly banned uk
1876,spam,hmv bonus special pounds genuine hmv vouchers answer easy questions play send hmv info
1880,spam,secret admirer looking make contact ufind rreveal thinks ur specialcall
1887,spam,dear xxxxxxx uve invited xchat final attempt contact txt chat pmsgrcvdhgsuitelandsrowwjhl ldn yrs
1888,spam,urgent please call landline abta complimentary tenerife holiday £ cash await collection sae tcs box cwwx ppm
1893,spam,call listen extreme dirty live chat going office right total privacy one knows sic listening min mp
1895,spam,freemsg hey got videopic fones reply wild txt ill send pics hurry im bored work xxx prcvd stopstop
1904,spam,free entry weekly comp chance win ipod txt pod get entry std txt rate tcs apply details
1915,spam,new textbuddy chat horny guys ur area free receive search postcode gaytextbuddycom txt one name rpl stop cnl
1929,spam,call tells call claim £ prize enter ur mobile personal details prompts careful
1930,spam,free st week entry textpod chance win gb ipod £ cash every wk txt vpod tscs custcare
1940,spam,people dogging area call join like minded guys arrange theres evening £ minapn lsbb
1942,spam,well done costa del sol holiday £ await collection call toclaim sae tcs pobox stockport skxh cost£pm maxmins
1961,spam,guess somebody know secretly fancies wan na find give us call landline dateboxessexcmxn pmin
1963,spam,free text messages valid december
1970,spam,guaranteed £ award even £ cashto claim ur award call free stop getstop php
1978,spam,reply win £ weekly fifa world cup held send stop end service
1985,spam,urgent please call landline abta complimentary tenerife holiday cash await collection sae tcs box cwwx ppm
1993,spam,free tones hope enjoyed new content text stop unsubscribe helpp provided tonesyoucouk
2003,spam,themobyo yo yohere comes new selection hot downloads members get free click open next link sent ur fone
2014,spam,great news call freefone claim guaranteed £ cash £ gift speak live operator
2023,spam,win £ music gift vouchers every week starting txt word draw tscs skillgamewinaweek ageppermesssubscription
2044,spam,mths half price orange line rental latest camera phones free phone mths call mobilesdirect free update orstoptxt
2053,spam,call use ur mins calls cast pmin mob vary service provided aom gbpmonth aom boxm er stop ages
2064,spam,urgent mobile £ bonus caller prize nd attempt reach call asap boxnqp ppm
2070,spam,eerie nokia tones rply tone title eg tone dracula titles ghost addamsfa munsters exorcist twilight poboxwwq
2071,spam,sexy singles waiting text age followed gender wither egf gay men text age followed egg
2074,spam,freemsg claim ur sms messagestext ok nowuse webmobile ur mates etc join txtcom pwk tc box lawu remove txtx stop
2079,spam,freeringtonereply real
2089,spam,well done england get official poly ringtone colour flag yer mobile text tone flag optout txt eng stop box wwx £
2094,spam,final chance claim ur £ worth discount vouchers today text yes savamob member offers mobile cs savamob pobox muz £ subs
2095,spam,private account statement shows unredeemed bonus points claim call identifier code expires
2100,spam,sms services inclusive text credits pls goto login unsubscribe stop extra charge help po box ip
2109,spam,freeday sexy st georges day pic jordantxt pic dont miss every wk saucy celeb pics pocketbabecouk £wk
2113,spam,winner specially selected receive £ cash £ award speak live operator claim call ampm cost
2115,spam,sunshine hols claim ur med holiday send stamped self address envelope drinks us uk po box bray wicklow eire quiz starts saturday unsub stop
2119,spam,win £ music gift vouchers every week starting txt word draw tscs skillgame winaweek age ppermesssubscription
2124,spam,error
2133,spam,bu voucher wc marsms log onto discount credit opt reply stop customer care call
2145,spam,freemsg hey im buffy love satisfy men home alone feeling randy reply pix qlynnbv helpp msg send stop stop txts
2146,spam,sunshine hols claim ur med holiday send stamped self address envelope drinks us uk po box bray wicklow eire quiz starts saturday unsub stop
2160,spam,free st week nokia tone ur mob every week txt nokia get txting tell ur mates zed pobox wwq normptone
2170,spam,shop till drop either £ cash £ travel voucher call ntt po box crbt fixedline cost ppm mobile vary
2189,spam,free camera phones linerental month cross ntwk mins price txt bundle deals also avble call calloptoutj mf
2207,spam,urgent mobile xxxxxxxxx £ bonus caller prize nd attempt reach call asap boxnqp ppm
2209,spam,urgent costa del sol holiday £ await collection call toclaim sae tc pobox stockport skxh cost£pm maxmins
2220,spam,guaranteed £ cash £ prize claim yr prize call customer service representative ampm cost
2224,spam,thanks ringtone order ref number mobile charged £ tone arrive please call customer services
2247,spam,hi ya babe goten bout scammers getting smartthough regular vodafone respond get prem rate msgsubscription nos used also beware
2248,spam,back work morro half term nite sexy passion go back chat luv dena calls £minmobsmorelkpoboxhpfl
